Individual Test Solutions,Remote Testing,Adaptive/IRT,Test Type,Description,Job Level,Language,Assessment Length
[Fundamentals of Chemistry (New)](https://www.shl.com/solutions/products/product-catalog/view/fundamentals-of-chemistry-new/),Yes,No,K,"Multi-choice test that measures the knowledge of physical chemistry, inorganic chemistry and organic chemistry.","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),8 minutes
[Fundamentals of Physics (New)](https://www.shl.com/solutions/products/product-catalog/view/fundamentals-of-physics-new/),Yes,No,K,"Multi-choice test that measures the knowledge of classical mechanics, Newton's laws of motion, electromagnetism, EM waves, thermodynamics and modern physics.","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),8 minutes
[General Diseases (New)](https://www.shl.com/solutions/products/product-catalog/view/general-diseases-new/),Yes,No,K,"Multi-choice test that measures the knowledge of common diseases of ear, nose, throat and teeth, their symptoms, drugs used to treat them and various drugs used to relieve pain.","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),5 minutes
[Geoinformatics Engineering (New)](https://www.shl.com/solutions/products/product-catalog/view/geoinformatics-engineering-new/),Yes,No,K,"Multi-choice test that measures the knowledge of remote sensing, digital image processing, digital photogrammetry, planning and surveying, geology, GIS and drilling Engineering.","Mid-Professional, Professional Individual Contributor, Supervisor, Entry-Level, Graduate",English (USA),10 minutes
[Geoscience Engineering (New)](https://www.shl.com/solutions/products/product-catalog/view/geoscience-engineering-new/),Yes,No,K,"Multi-choice test that measures the knowledge of exploration geology, soil mechanics, rock mechanics, geophysical investigation, geological surveying.","Mid-Professional, Professional Individual Contributor, Graduate",English (USA),8 minutes
[GIT (New)](https://www.shl.com/solutions/products/product-catalog/view/git-new/),Yes,No,K,Multi-choice test that measures the knowledge of how to use GIT for version control.,"Mid-Professional, Professional Individual Contributor",English (USA),13 minutes
[Global Skills Assessment](https://www.shl.com/solutions/products/product-catalog/view/global-skills-assessment/),Yes,No,C K,The Global Skills Assessment (GSA) is an assessment used to measure 96 discrete skills/behaviors. These 96 skill scores are directly aligned to the most discrete level of SHL’s Universal Competency Framework (UCF). The GSA measures self-reported behaviors an individual currently engages in. A person’s skills (sets of behavior) are malleable and may change over time. SHL utilizes GSA scores to understand what the participant reports they can do today.,Not found,"Indonesian, Italian, Swedish, Thai, Portuguese (Brazil), French (Canada), Chinese Simplified, Danish, Finnish, French, German, English International, Japanese, Korean, Latin American Spanish, Norwegian, Polish, Romanian, Spanish, Vietnamese, Chinese Traditional, Arabic, English (USA), Dutch, Portuguese, Turkish",16 minutes
[Graduate Scenarios](https://www.shl.com/solutions/products/product-catalog/view/graduate-scenarios/),Yes,No,B,Not found,Not found,Not found,Not found
[Graduate Scenarios Narrative Report](https://www.shl.com/solutions/products/product-catalog/view/graduate-scenarios-narrative-report/),Yes,No,B,"Graduate Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in graduates; a group who typically has limited work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries. 

Reports available: 

Graduate Scenarios Narrative Report: A participant focused report that contains; 
- Graduate Scenarios profile 
- Feedback report (with development tips) breaking down the overall Managerial judgement results into each of the 3 sub-scales; Managing Objectives, People Management and Corporate Management. 

Graduate Scenarios Profile: Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades.","Mid-Professional, Professional Individual Contributor, Manager, Graduate",Not found,Not found
[Graduate Scenarios Profile Report](https://www.shl.com/solutions/products/product-catalog/view/graduate-scenarios-profile-report/),Yes,No,B,"Graduate Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in graduates; a group who typically has limited work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries. 

Reports available: 

Graduate Scenarios Narrative Report: A participant focused report that contains; 
- Graduate Scenarios profile 
- Feedback report (with development tips) breaking down the overall Managerial judgement results into each of the 3 sub-scales; Managing Objectives, People Management and Corporate Management. 

Graduate Scenarios Profile: Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades.","Graduate, Manager, Mid-Professional, Professional Individual Contributor",Not found,Not found
[Hibernate (New)](https://www.shl.com/solutions/products/product-catalog/view/hibernate-new/),Yes,No,K,"Multi-choice test that measures the knowledge of Hibernate architecture, Hibernate mapping and Hibernate query language(HQL).","Mid-Professional, Professional Individual Contributor",English (USA),5 minutes
